Grambling State University (LA)	www.gram.edu
Grand Canyon University (AZ)	www.gcu.edu
Grand Valley State University (MI)	www.gvsu.edu
Grand View University (IA)	www.grandview.edu
Granite State College (NH)	www.granite.edu
Gratz College (PA)	www.gratz.edu
Great Basin College (NV)	www.gbcnv.edu
Great Lakes Christian College (MI)	www.glcc.edu
Green Mountain College (VT)	greenmtn.edu
Greensboro College (NC)	www.greensboro.edu
Greenville College (IL)	www.greenville.edu
Grinnell College (IA)	www.grinnell.edu
Grove City College (PA)	www.gcc.edu
Guilford College (NC)	www.guilford.edu
Gulf Coast State College (FL)	www.gulfcoast.edu
Gustavus Adolphus College (MN)	gustavus.edu
Gwynedd Mercy University (PA)	www.gmercyu.edu
Icahn School of Medicine at Mount Sinai (NY)	icahn.mssm.edu
Idaho State University (ID)	www.isu.edu
Iliff School of Theology (CO)	www.iliff.edu
Illinois College (IL)	www.ic.edu
Illinois College of Optometry (IL)	www.ico.edu
Illinois Institute of Art (IL)	new.artinstitutes.edu
Illinois Institute of Art–Schaumburg (IL)	new.artinstitutes.edu
Illinois Institute of Technology (IL)	web.iit.edu
Illinois State University (IL)	illinoisstate.edu
Illinois Wesleyan University (IL)	www.iwu.edu
Immaculata University (PA)	www.immaculata.edu
Indian River State College (FL)	www.irsc.edu
Indiana Institute of Technology (IN)	www.indianatech.edu
Indiana State University (IN)	cms.indstate.edu
Indiana University–Bloomington (IN)	www.iub.edu
Indiana University–East (IN)	www.iue.edu
Indiana University–Kokomo (IN)	www.iuk.edu
Indiana University–Northwest (IN)	www.iun.edu
Indiana University–South Bend (IN)	www.iusb.edu
Indiana University–Southeast (IN)	www.ius.edu
Indiana University System (IN)	www.indiana.edu
Indiana University/Purdue University at Columbus (IN)	www.iupuc.edu
Indiana University/Purdue University at Fort Wayne (IN)	www.ipfw.edu
Indiana University/Purdue University at Indianapolis (IN)	www.iupui.edu
Indiana University of Pennsylvania (PA)	www.iup.edu
Indiana Wesleyan University (IN)	www.indwes.edu
Institute for Clinical Social Work (IL)	www.icsw.edu
Institute for the Psychological Sciences (VA)	ipsciences.edu
Institute of American Indian Arts (NM)	www.iaia.edu
Institute of World Politics (DC)	www.iwp.edu
Interdenominational Theological Center (GA)	www.itc.edu
Iona College (NY)	www.iona.edu
Iowa State University (IA)	www.iastate.edu
Iowa Wesleyan College (IA)	www.iwc.edu
Irell & Manella Graduate School of Biological Sciences (CA)	www.cityofhope.org
Ithaca College (NY)	www.ithaca.edu
Jackson State University (MS)	www.jsums.edu
Jacksonville University (FL)	www.ju.edu
Jacksonville State University (AL)	www.jsu.edu
James Madison University (VA)	www.jmu.edu
Jarvis Christian College (TX)	www.jarvis.edu
Jefferson College of Health Sciences (VA)	www.jchs.edu
The Jewish Theological Seminary of America (NY)	www.jtsa.edu
John Brown University (AR)	www.jbu.edu
John Carroll University (OH)	sites.jcu.edu
John F. Kennedy University (CA)	www.jfku.edu
John Marshall Law School (IL)	www.jmls.edu
Johns Hopkins University (MD)	www.jhu.edu
