Dominican College (NY)	www.dc.edu	216.0.146.13	38	-97
Dominican House of Studies (DC)	www.dhs.edu	198.185.159.136	38	-97
Dominican School of Philosophy & Theology (CA)	www.dspt.edu	207.54.156.30	41.332	-81.165
Dominican University (IL)	www.dom.edu	108.166.104.132	29.489	-98.399
Dominican University of California (CA)	www.dominican.edu	70.36.170.189	38.44	-122.714
Donnelly College (KS)	www.donnelly.edu	74.87.167.102	38.982	-94.671
Dordt College (IA)	www.dordt.edu	198.97.44.72	43.071	-96.234
Dowling College (NY)	www.dowling.edu	149.72.28.17	40.735	-73.131
Drake University (IA)	www.drake.edu	192.84.11.242	41.601	-93.683
Drew University (NJ)	www.drew.edu	192.107.39.6	40.763	-74.421
Drexel University (PA)	www.drexel.edu	144.118.66.83	39.96	-75.197
Drury University (MO)	www.drury.edu	64.22.249.117	37.219	-93.318
Duke University (NC)	duke.edu	152.3.72.104	35.995	-78.902
Dunwoody College of Technology (MN)	www.dunwoody.edu	64.132.94.43	39.768	-86.158
Duquesne University (PA)	www.duq.edu	165.190.1.15	40.434	-80.025
D´Youville College (NY)	www.dyc.edu	199.212.95.28	42.893	-78.888
Earlham College (IN)	www.earlham.edu	198.101.128.213	29.489	-98.399
East Carolina University (NC)	www.ecu.edu	150.216.243.60	35.524	-77.301
East Central University (OK)	www.ecok.edu	198.11.7.250	34.806	-96.705
East Stroudsburg State University of Pennsylvania (PA)	www.esu.edu	192.147.113.4	41.072	-75.128
East Tennessee State University (TN)	www.etsu.edu	151.141.9.187	36.313	-82.354
East Texas Baptist University (TX)	www.etbu.edu	74.50.126.5	27.939	-82.472
East-West University (IL)	en.wikipedia.org	208.80.154.224	37.79	-122.394
Eastern Connecticut State University (CT)	www.easternct.edu	149.152.32.102	41.778	-72.703
Eastern Florida State College (FL)	www.easternflorida.edu	169.139.190.36	28.386	-80.742
Eastern Illinois University (IL)	www.eiu.edu	139.67.8.125	39.5	-88.158
Eastern Kentucky University (KY)	www.eku.edu	157.89.60.92	37.767	-84.303
Eastern Mennonite University (VA)	www.emu.edu	199.111.20.20	38.089	-78.559
Eastern Michigan University (MI)	www.emich.edu	164.76.250.120	42.206	-83.623
Eastern Nazarene College (MA)	www1.enc.edu	205.174.26.180	39.961	-85.984
Eastern New Mexico University (NM)	www.enmu.edu	192.94.216.81	34.07	-103.331
Eastern Oregon University (OR)	www.eou.edu	140.211.40.7	44.046	-123.022
Eastern University (PA)	www.eastern.edu	107.21.104.61	39.044	-77.488
Eastern Virginia Medical School (VA)	www.evms.edu	166.78.34.76	29.489	-98.399
Eastern Washington University (WA)	www.ewu.edu	146.187.224.173	47.431	-117.629
Eckerd College (FL)	www.eckerd.edu	198.187.214.16	27.733	-82.688
ECPI University (VA)	www.ecpi.edu	70.32.70.233	34.02	-118.393
Eden Theological Seminary (MO)	www.eden.edu	64.34.195.13	38.927	-77.394
Edgewood College (WI)	www.edgewood.edu	139.135.225.50	43.021	-89.36
Edinboro University of Pennsylvania (PA)	www.edinboro.edu	147.64.234.215	42.183	-80.065
EDP College (PR)	www.edpuniversity.edu	50.62.231.1	33.612	-111.891
Edward Waters College (FL)	www.ewc.edu	206.188.192.64	38.927	-77.394
Elizabeth City State University (NC)	www.ecsu.edu	198.85.56.54	36.317	-76.275
Elizabethtown College (PA)	www.etown.edu	173.240.224.38	40.168	-76.609
Elmhurst College (IL)	public.elmhurst.edu	208.80.58.68	37.775	-122.419
Elmira College (NY)	www.elmira.edu	54.221.247.16	39.044	-77.488
Elms College (MA)	www.elms.edu	192.69.4.206	43.229	-75.408
Elon University (NC)	www.elon.edu	152.33.2.72	36.166	-79.52
Embry-Riddle Aeronautical University (AZ / FL)	www.erau.edu	67.20.186.83	39.952	-75.164
Emerson College (MA)	www.emerson.edu	199.94.80.103	38	-97
Emmanuel Christian Seminary (TN)	www.ecs.edu	75.136.2.3	36.142	-85.203
Emmanuel College (GA)	www.ec.edu	64.91.235.158	42.726	-84.636
Emmanuel College (MA)	www.emmanuel.edu	69.43.88.82	42.345	-71.099
Emmaus Bible College (IA)	www.emmaus.edu	64.89.44.97	38.65	-90.533
Emporia State University (KS)	www.emporia.edu	198.248.25.25	38.427	-96.21
Emory & Henry College (VA)	www.ehc.edu	216.70.112.100	34.02	-118.393
Emory University (GA)	www.emory.edu	170.140.125.16	33.795	-84.325
Endicott College (MA)	www.endicott.edu	64.25.240.88	42.565	-70.858
Erikson Institute (IL)	www.erikson.edu	162.159.249.99	37.77	-122.393
Erskine College (SC)	www.erskine.edu	206.74.226.22	33.985	-81.025
Escuela de Artes Plásticas de Puerto Rico (PR)	www.eap.edu	66.147.240.167	40.218	-111.613
Eureka College (IL)	www.eureka.edu	173.201.238.128	33.612	-111.891
Evangel University (MO)	www.evangel.edu	96.126.125.180	39.49	-74.477
Evangelical Theological Seminary (PA)	www.evangelical.edu	199.187.211.107	33.752	-84.392
Everglades University (FL)	www.evergladesuniversity.edu	63.240.255.135	26.188	-80.171
Evergreen State College (WA)	www.evergreen.edu	192.211.16.77	47.065	-122.976
Excelsior College (NY)	www.excelsior.edu	74.123.146.32	42.685	-73.832
Fairfield University (CT)	www.fairfield.edu	192.160.243.84	41.175	-73.284
Fairleigh Dickinson University (NJ)	www.fdu.edu	132.238.2.218	40.889	-74.012
Fairmont State University (WV)	www.fairmontstate.edu	129.71.73.26	39.484	-80.06
Faith Baptist Bible College & Theological Seminary (IA)	www.faith.edu	209.217.249.224	38.958	-104.757
Fashion Institute of Design & Merchandising (CA)	fidm.edu	206.135.17.163	37.654	-121.855
Faulkner University (AL)	www.faulkner.edu	54.200.74.47	45.779	-119.529
Fayetteville State University (NC)	www.uncfsu.edu	152.6.15.71	34.964	-78.742
Felician College (NJ)	www.felician.edu	162.209.89.75	29.489	-98.399
Ferris State University (MI)	www.ferris.edu	161.57.5.87	43.68	-85.562
Ferrum College (VA)	www.ferrum.edu	72.10.34.53	34.02	-118.393
Fielding Graduate University (CA)	www.fielding.edu	192.190.37.49	34.439	-119.77
Finlandia University (MI)	www.finlandia.edu	199.38.28.31	46.094	-87.216
Fisher College (MA)	www.fisher.edu	54.88.201.175	47.584	-122.3
Fisk University (TN)	www.fisk.edu	173.203.62.145	29.489	-98.399
Fitchburg State University (MA)	www.fitchburgstate.edu	74.10.161.237	42.591	-71.806
Five Towns College (NY)	www.ftc.edu	64.13.222.55	34.02	-118.393
Flagler College (FL)	www.flagler.edu	207.114.53.196	39.163	-76.936
Florida Agricultural & Mechanical University (FL)	www.famu.edu	69.63.131.209	39.29	-76.612
Florida Atlantic University (FL)	www.fau.edu	131.91.129.219	26.382	-80.105
Florida College (FL)	www.floridacollege.edu	205.186.182.231	34.02	-118.393
Florida Gulf Coast University (FL)	www.fgcu.edu	69.88.161.15	26.553	-81.949
Florida Institute of Technology (FL)	www.fit.edu	163.118.171.29	28.072	-80.624
Florida International University (FL)	www.fiu.edu	131.94.74.137	25.558	-80.458
Florida Memorial University (FL)	www.fmuniv.edu	97.74.46.128	33.612	-111.891
Florida National University (FL)	www.fnu.edu	184.106.71.26	29.489	-98.399
Florida Southern College (FL)	www.flsouthern.edu	67.78.137.62	27.771	-82.679
Florida SouthWestern State College (FL)	www.fsw.edu	169.139.115.10	26.622	-81.841
Florida State College at Jacksonville (FL)	www.fscj.edu	65.254.215.57	33.944	-84.212
Florida State University (FL)	www.fsu.edu	128.186.6.14	30.442	-84.299
Fontbonne University (MO)	www.fontbonne.edu	204.232.170.144	29.489	-98.399
Fordham University (NY)	www.fordham.edu	50.58.123.33	39.297	-76.607
Forest Institute of Professional Psychology (MO)	www.forest.edu	69.28.224.196	42.4	-82.2
Fort Hays State University (KS)	www.fhsu.edu	209.114.127.19	38.9	-99.347
Fort Lewis College (CO)	www.fortlewis.edu	129.19.131.75	40.088	-105.374
Fort Valley State University (GA)	www.fvsu.edu	168.16.160.13	32.572	-83.892
Framingham State University (MA)	www.framingham.edu	134.241.37.236	42.322	-71.635
Francis Marion University (SC)	www.fmarion.edu	70.61.219.177	34.099	-81.061
Franciscan School of Theology (CA)	www.fst.edu	192.185.18.13	29.83	-95.474
Franciscan University of Steubenville (OH)	www.franciscan.edu	206.244.99.10	40.379	-80.794
Frank Lloyd Wright School of Architecture (AZ)	www.taliesin.edu	173.236.169.43	33.927	-117.861
Franklin & Marshall College (PA)	www.fandm.edu	155.68.131.17	40.038	-76.306
Franklin College (IN)	www.franklincollege.edu	64.56.114.2	39.759	-84.192
Franklin Pierce University (NH)	www.franklinpierce.edu	66.39.95.22	40.453	-79.929
Franklin University (OH)	www.franklin.edu	199.30.211.129	39.965	-83.024
Franklin W. Olin College of Engineering (MA)	www.olin.edu	54.243.37.205	39.044	-77.488
