Francis Marion University (SC)	www.fmarion.edu	70.61.219.177
Franciscan School of Theology (CA)	www.fst.edu	192.185.18.13
Franciscan University of Steubenville (OH)	www.franciscan.edu	206.244.99.10
Frank Lloyd Wright School of Architecture (AZ)	www.taliesin.edu	173.236.169.43
Franklin & Marshall College (PA)	www.fandm.edu	155.68.131.17
Franklin College (IN)	www.franklincollege.edu	64.56.114.2
Franklin Pierce University (NH)	www.franklinpierce.edu	66.39.95.22
Franklin University (OH)	www.franklin.edu	199.30.211.129
Franklin W. Olin College of Engineering (MA)	www.olin.edu	54.243.37.205
Freed-Hardeman University (TN)	www.fhu.edu	96.33.112.99
Fresno Pacific University (CA)	www.fresno.edu	50.203.69.62
Friends University (KS)	www.friends.edu	50.28.29.105
Frontier Nursing University (KY)	www.frontier.edu	198.1.75.143
Frostburg State University (MD)	www.frostburg.edu	131.118.80.40
Fuller Theological Seminary (CA)	www.fuller.edu	208.88.128.112
Furman University (SC)	www2.furman.edu	156.143.240.141
Future Generations Graduate School (WV)	www.future.org	67.18.182.252
Gallaudet University (DC)	www.gallaudet.edu	134.231.4.110
Gannon University (PA)	www.gannon.edu	206.180.208.23
Gardner-Webb University (NC)	www.gardner-webb.edu	74.208.174.174
Garrett-Evangelical Theological Seminary (IL)	www.garrett.edu	174.136.3.90
Geneva College (PA)	www.geneva.edu	65.210.64.136
George Fox University (OR)	www.georgefox.edu	209.170.248.51
George Mason University (VA)	www.gmu.edu	129.174.1.38
George Washington University (DC)	www.gwu.edu	128.164.1.16
George Washington University–Virginia Science & Technology Campus (VA)	virginia.gwu.edu	128.164.1.16
Georgetown College (KY)	www.georgetowncollege.edu	98.19.220.43
Georgetown University (DC)	www.georgetown.edu	69.46.225.2
Georgia College & State University (GA)	www.gcsu.edu	168.16.211.192
Georgia Gwinnett College (GA)	www.ggc.edu	207.114.53.205
Georgia Institute of Technology (GA)	www.gatech.edu	130.207.160.173
Georgia Regents University (GA)	www.gru.edu	158.93.191.150
Georgia Southern University (GA)	www.georgiasouthern.edu	162.218.137.39
Georgia Southwestern State University (GA)	gsw.edu	168.18.216.210
Georgia State University (GA)	www.gsu.edu	174.143.197.199
Georgian Court University (NJ)	www.georgian.edu	209.123.189.153
Gettysburg College (PA)	www.gettysburg.edu	138.234.4.66
Glenville State College (WV)	www.glenville.edu	129.71.101.190
Global University (MO)	www.globaluniversity.edu	65.23.47.80
God's Bible School & College (OH)	www.gbs.edu	74.208.27.14
Goddard College (VT)	www.goddard.edu	54.225.94.67
Golden Gate Baptist Theological Seminary (CA)	www.ggbts.edu	207.57.20.13
Golden Gate University (CA)	www.ggu.edu	192.251.73.15
Goldey-Beacom College (DE)	www.gbc.edu	107.1.39.102
Goldfarb School of Nursing at Barnes-Jewish College (MO)	www.barnesjewishcollege.edu	204.16.249.197
Gonzaga University (WA)	www.gonzaga.edu	147.222.24.6
Goodwin College (CT)	www.goodwin.edu	205.178.150.74
Gordon State College (GA)	www.gordonstate.edu	168.26.240.26
Gordon College (MA)	www.gordon.edu	216.236.251.131
Gordon-Conwell Theological Seminary (MA)	www.gordonconwell.edu	209.41.186.150
Goshen College (IN)	www.goshen.edu	199.8.232.90
Goucher College (MD)	www.goucher.edu	50.202.217.150
Governors State University (IL)	www.govst.edu	143.43.32.120
Grace Bible College (MI)	www.gbcol.edu	54.236.189.61
Grace College & Seminary (IN)	www.grace.edu	23.21.118.220
Grace University (NE)	www.graceuniversity.edu	67.227.230.18
Graceland University (IA)	www.graceland.edu	208.112.13.178
Graduate Institute of Applied Linguistics (TX)	www.gial.edu	216.50.37.93
Graduate Theological Union (CA)	gtu.edu	50.56.49.247
Grambling State University (LA)	www.gram.edu	198.99.190.140
Grand Canyon University (AZ)	www.gcu.edu	137.152.22.135
Grand Valley State University (MI)	www.gvsu.edu	148.61.6.9
Grand View University (IA)	www.grandview.edu	216.159.26.39
Granite State College (NH)	www.granite.edu	158.136.1.16
Gratz College (PA)	www.gratz.edu	66.151.230.201
Great Basin College (NV)	www.gbcnv.edu	134.197.186.58
Great Lakes Christian College (MI)	www.glcc.edu	70.34.33.31
Green Mountain College (VT)	greenmtn.edu	198.252.222.4
Greensboro College (NC)	www.greensboro.edu	192.154.62.21
Greenville College (IL)	www.greenville.edu	216.125.80.51
Grinnell College (IA)	www.grinnell.edu	50.57.214.208
Grove City College (PA)	www.gcc.edu	72.23.224.89
Guilford College (NC)	www.guilford.edu	209.123.98.165
Gulf Coast State College (FL)	www.gulfcoast.edu	150.176.193.154
Gustavus Adolphus College (MN)	gustavus.edu	138.236.128.18
Gwynedd Mercy University (PA)	www.gmercyu.edu	23.21.212.232
Icahn School of Medicine at Mount Sinai (NY)	icahn.mssm.edu	146.203.136.209
Idaho State University (ID)	www.isu.edu	134.50.250.89
Iliff School of Theology (CO)	www.iliff.edu	192.240.176.227
Illinois College (IL)	www.ic.edu	208.99.177.180
Illinois College of Optometry (IL)	www.ico.edu	67.217.33.210
Illinois Institute of Art (IL)	new.artinstitutes.edu	107.23.116.85
Illinois Institute of Art–Schaumburg (IL)	new.artinstitutes.edu	107.23.163.251
Illinois Institute of Technology (IL)	web.iit.edu	54.197.231.177
Illinois State University (IL)	illinoisstate.edu	138.87.246.37
Illinois Wesleyan University (IL)	www.iwu.edu	198.178.132.13
Immaculata University (PA)	www.immaculata.edu	98.129.134.83
Indian River State College (FL)	www.irsc.edu	64.56.91.39
Indiana Institute of Technology (IN)	www.indianatech.edu	216.70.85.211
Indiana State University (IN)	cms.indstate.edu	139.102.15.113
Indiana University–Bloomington (IN)	www.iub.edu	129.79.78.186
Indiana University–East (IN)	www.iue.edu	129.79.78.75
Indiana University–Kokomo (IN)	www.iuk.edu	129.79.78.183
Indiana University–Northwest (IN)	www.iun.edu	129.79.78.179
Indiana University–South Bend (IN)	www.iusb.edu	134.68.23.7
Indiana University–Southeast (IN)	www.ius.edu	134.68.22.79
Indiana University System (IN)	www.indiana.edu	129.79.78.192
Indiana University/Purdue University at Columbus (IN)	www.iupuc.edu	156.56.198.203
Indiana University/Purdue University at Fort Wayne (IN)	www.ipfw.edu	149.164.226.75
Indiana University/Purdue University at Indianapolis (IN)	www.iupui.edu	129.79.78.167
Indiana University of Pennsylvania (PA)	www.iup.edu	144.80.198.82
Indiana Wesleyan University (IN)	www.indwes.edu	199.8.27.201
Institute for Clinical Social Work (IL)	www.icsw.edu	209.196.155.216
Institute for the Psychological Sciences (VA)	ipsciences.edu	144.202.224.250
Institute of American Indian Arts (NM)	www.iaia.edu	64.78.30.36
Institute of World Politics (DC)	www.iwp.edu	74.217.243.49
Interdenominational Theological Center (GA)	www.itc.edu	66.150.26.203
Iona College (NY)	www.iona.edu	192.231.231.60
Iowa State University (IA)	www.iastate.edu	129.186.23.166
Iowa Wesleyan College (IA)	www.iwc.edu	168.61.0.115
Irell & Manella Graduate School of Biological Sciences (CA)	www.cityofhope.org	151.152.139.61
Ithaca College (NY)	www.ithaca.edu	147.129.56.50
Jackson State University (MS)	www.jsums.edu	23.92.16.195
Jacksonville University (FL)	www.ju.edu	204.29.160.204
Jacksonville State University (AL)	www.jsu.edu	205.174.48.175
James Madison University (VA)	www.jmu.edu	134.126.10.50
Jarvis Christian College (TX)	www.jarvis.edu	50.62.112.17
Jefferson College of Health Sciences (VA)	www.jchs.edu	107.21.104.61
The Jewish Theological Seminary of America (NY)	www.jtsa.edu	149.105.5.48
John Brown University (AR)	www.jbu.edu	70.182.111.180
John Carroll University (OH)	sites.jcu.edu	74.205.123.208
John F. Kennedy University (CA)	www.jfku.edu	198.17.145.122
John Marshall Law School (IL)	www.jmls.edu	69.174.53.55
Johns Hopkins University (MD)	www.jhu.edu	128.220.192.40
Johnson University (TN)	www.johnsonu.edu	198.146.154.9
Johnson University Florida (FL)	www.johnsonu.edu	198.146.154.9
Johnson C. Smith University (NC)	www.jcsu.edu	67.227.162.232
Johnson State College (VT)	www.jsc.edu	23.253.147.88
Johnson & Wales University (RI)	www.jwu.edu	192.225.208.17
Jones International University (CO)	www.jiu.edu	198.62.160.52
Judson College (AL)	www.judson.edu	208.86.227.90
Judson University (IL)	www.judsonu.edu	166.90.77.112
The Juilliard School (NY)	www.juilliard.edu	162.159.244.112
Juniata College (PA)	www.juniata.edu	192.112.102.5
La Roche College (PA)	www.laroche.edu	50.201.253.97
La Salle University (PA)	www.lasalle.edu	139.84.10.210
La Sierra University (CA)	lasierra.edu	192.156.214.4
Labouré College (MA)	www.laboure.edu	216.87.172.186
Lafayette College (PA)	www.lafayette.edu	139.147.15.36
LaGrange College (GA)	www.lagrange.edu	69.61.33.34
Laguna College of Art & Design (CA)	www.lcad.edu	70.32.78.230
Lake Erie College (OH)	www.lec.edu	198.30.143.4
Lake Erie College of Osteopathic Medicine (PA)	www.lecom.edu	208.40.134.92
Lake Forest College (IL)	www.lakeforest.edu	164.68.1.70
Lake Forest Graduate School of Management (IL)	www.lakeforestmba.edu	204.232.246.176
Lake Superior State University (MI)	www.lssu.edu	198.110.216.3
Lake-Sumter State College (FL)	www.lssc.edu	64.56.88.53
Lakeland College (WI)	lakeland.edu	205.213.172.104
Lakeview College of Nursing (IL)	www.lakeviewcol.edu	64.90.50.84
